"docket","court","nos","jur_fq","jur_div","jur_supp","remove","counterclaim","cfaa","patent","copyright","lanham","antitrust","rico","otherfed","statets","contract","fiduciary","goodfaith","unfaircomp","conversion","interfere","unjenrich","fraud","statecomp","conspiracy","otherstate","technical","customer","businfo","software","formula","negativets","employee","buspartner","otherdef","foreigndef","country","acquire","disclose","use","hacking","nda","noncompete","tro","pi","exparte"
"1:16-CV-05171","NYSD",890,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"",0,1,1,0,1,0,1,1,1
"1:16-CV-05297","NYSD",820,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"",0,0,1,0,1,0,1,1,1
"1:16-CV-05438","NYSD",890,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,"United Kingdom",1,1,1,1,1,0,1,1,1
"1:16-CV-05878","NYSD",890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,0,0,1,0,3,1,3
"1:16-CV-05943","NYED",450,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"",0,1,1,0,1,0,1,3,1
"1:16-CV-06003","ILND",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,"",1,1,1,0,1,0,1,1,1
"1:16-CV-06010","ILND",190,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"",0,0,1,0,0,0,1,1,1
"1:16-CV-06113","ILND",890,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,1,1
"1:16-CV-06614","NYSD",820,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"",0,0,1,0,1,0,1,1,1
"1:16-CV-06825","NYSD",190,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",0,0,1,0,1,1,1,2,1
"1:16-CV-06852","NYSD",890,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,"",1,1,0,0,1,0,1,1,1
"1:16-CV-06886","NYSD",190,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,"",0,1,1,0,0,1,1,1,1
"1:16-CV-06896","NYSD",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,"",0,0,1,0,1,1,1,1,1
"1:16-CV-07590","ILND",890,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"",0,0,0,0,1,0,3,3,1
"1:16-CV-07693","ILND",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,1,1
"1:16-CV-07811","ILND",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,"",0,1,1,0,1,0,1,1,1
"1:16-CV-08624","NYSD",190,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"",0,1,1,0,1,0,1,1,1
"1:16-CV-08746","NYSD",890,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,3,5,1
"1:16-CV-09298","NYSD",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,2,2,1
"1:16-CV-09380","ILND",890,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,"",1,1,1,0,1,1,1,1,1
"1:16-CV-09499","ILND",840,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,"",1,1,1,1,1,1,3,5,1
"1:16-CV-09620","ILND",840,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"",0,0,1,1,0,0,1,1,1
"1:16-CV-09882","NYSD",820,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,"",1,1,0,0,1,0,1,1,1
"1:16-CV-09963","ILND",802,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"",1,1,1,0,0,0,3,1,1
"1:16-CV-10468","ILND",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,"",0,1,1,0,1,0,1,5,1
"1:16-CV-10520","ILND",890,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"",1,1,1,0,1,1,2,2,1
"1:16-CV-10552","ILND",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,1,1,1
"1:16-CV-10626","ILND",190,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,999,"See Notes",0,0,1,0,1,0,2,1,1
"1:16-CV-10703","ILND",890,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"1:16-CV-10780","ILND",820,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"",0,1,1,0,0,0,1,1,1
"1:16-CV-11163","ILND",840,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"",0,0,1,0,1,0,1,1,1
"1:16-CV-11390","ILND",190,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,2,1
"1:16-CV-11468","ILND",190,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,3,3,1
"1:16-CV-11532","ILND",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,0,2,5,1
"1:16-CV-11752","ILND",840,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,"",1,0,1,0,1,0,1,1,1
"1:16-CV-12146","MAD",890,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,"",0,1,1,0,0,0,1,1,1
"1:16-CV-12149","MAD",890,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,"",0,1,0,0,1,0,5,3,1
"1:16-CV-12288","MAD",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,1,2,1
"1:16-CV-12329","MAD",890,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,1,1,2,1
"1:16-CV-12474","MAD",890,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"1:16-CV-21731","FLSD",890,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"",1,1,0,0,0,0,1,1,1
"1:16-CV-21746","FLSD",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,0,0,0,0,1,3,1
"1:16-CV-23300","FLSD",890,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"",1,1,1,0,0,0,3,1,2
"1:16-CV-24417","FLSD",840,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,"Colombia",1,1,1,0,1,1,1,1,1
"1:16-CV-24504","FLSD",840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,"",1,0,1,0,0,0,1,1,1
"1:17-CV-00014","DED",830,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,"",1,0,1,0,0,0,1,2,1
"1:17-CV-00016","FLND",820,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,"",1,0,1,0,0,0,1,5,1
"1:17-CV-00050","OHND",190,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,"",1,0,0,0,0,0,5,5,1
"1:17-CV-00101","PAWD",890,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,"",0,1,1,0,0,0,1,1,1
"1:17-CV-00120","NHD",190,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"1:17-CV-00146","DED",890,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"",1,0,1,0,1,0,2,2,1
"1:17-CV-00147","NYED",830,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"",1,0,1,0,1,0,1,1,1
"1:17-CV-00152","TXWD",890,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,"",0,1,1,0,1,1,1,3,1
"1:17-CV-00159","VAED",890,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"",0,1,1,0,0,0,3,3,1
"1:17-CV-00161","DED",890,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,"",1,1,1,0,0,0,1,1,1
"1:17-CV-00186","VAED",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,"",1,1,1,0,1,0,1,1,1
"1:17-CV-00210","COD",470,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,"",1,0,0,0,0,0,4,4,1
"1:17-CV-00224","DED",890,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"",1,1,1,0,1,0,5,3,1
"1:17-CV-00232","VAED",890,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,"",1,1,0,0,1,0,1,1,1
"1:17-CV-00241","NYSD",890,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"",1,1,1,0,1,0,1,1,1
"1:17-CV-00255","VAED",890,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,"",0,0,1,0,1,1,1,1,1
"1:17-CV-00257","VAED",890,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,"",1,1,1,1,1,1,1,1,1
"1:17-CV-00323","VAED",380,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"",0,0,1,0,0,0,1,1,1
"1:17-CV-00365","PAMD",190,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,"",1,1,0,0,1,1,3,5,1
"1:17-CV-00405","VAED",190,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,"",1,1,1,1,0,0,1,1,1
